node_id,node_type,name,symbol,valid_from,valid_to,source_news_id,split,prediction_time_safe,attributes_json,dataset_version,graph_version,kg_layer,layered_release_version
company:502700c3a5c85fe2,Company,Công ty Cổ phần Tập đoàn PC1,,,,,,True,"{""reference_symbol"": ""PC1""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:52895d33f12d85a5,Company,Công ty Cổ phần Dược Hậu Giang,,,,,,True,"{""reference_symbol"": ""DHG""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:52e0089d204eab35,Company,Ngân hàng TMCP Việt Nam Thịnh Vượng,,,,,,True,"{""reference_symbol"": ""VPB""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:5b9de1fbaec194d7,Company,Công ty Cổ phần Thép Nam Kim,,,,,,True,"{""reference_symbol"": ""NKG""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:6113b486cbc59254,Company,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,,,,,,True,"{""reference_symbol"": ""SHS""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:633d609bf794c48b,Company,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,,,,,,True,"{""reference_symbol"": ""HAH""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:6604b888005fd7a3,Company,Công ty Cổ phần Tập đoàn Sao Mai,,,,,,True,"{""reference_symbol"": ""ASM""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:6f63d05c8200eeda,Company,Công ty Cổ phần Vĩnh Hoàn,,,,,,True,"{""reference_symbol"": ""VHC""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:70a97899761f1e66,Company,Công ty Cổ phần Tập đoàn Hòa Phát,,,,,,True,"{""reference_symbol"": ""HPG""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:71169c45f45f0e13,Company,Tập đoàn Vingroup,,,,,,True,"{""reference_symbol"": ""VIC""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:7442956f6fc3580f,Company,Công ty Cổ phần Vincom Retail,,,,,,True,"{""reference_symbol"": ""VRE""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:7ac9c43114e3b86f,Company,Công ty Cổ phần Thép Pomina,,,,,,True,"{""reference_symbol"": ""POM""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:7b2ecef2f888c16c,Company,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,,,,,,True,"{""reference_symbol"": ""PVD""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:84a64b938a46bd36,Company,Tập đoàn Xăng dầu Việt Nam,,,,,,True,"{""reference_symbol"": ""PLX""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:9e47c3a394c62dff,Company,Công ty Cổ phần Chứng khoán Vietcap,,,,,,True,"{""reference_symbol"": ""VCI""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:a06df17ee1c237ad,Company,Tổng Công ty Điện lực Dầu khí Việt Nam,,,,,,True,"{""reference_symbol"": ""POW""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:a18a29d1990e598a,Company,Công ty Cổ phần FPT,,,,,,True,"{""reference_symbol"": ""FPT""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:a205a00f05d5802f,Company,Công ty Cổ phần Container Việt Nam,,,,,,True,"{""reference_symbol"": ""VSC""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:a83c88b43aa76d07,Company,Công ty Cổ phần Chứng khoán VIX,,,,,,True,"{""reference_symbol"": ""VIX""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:b0c7e6a3d977ed2b,Company,Công ty Cổ phần Chứng khoán VNDIRECT,,,,,,True,"{""reference_symbol"": ""VND""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:b42ad1f109bad014,Company,Công ty Cổ phần Hàng không Vietjet,,,,,,True,"{""reference_symbol"": ""VJC""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:b562cb48e7a68dac,Company,Công ty Cổ phần Tập đoàn Công nghệ CMC,,,,,,True,"{""reference_symbol"": ""CMG""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:b935b90b97ed4560,Company,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,,,,,,True,"{""reference_symbol"": ""KDH""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:cd33090b4c4de62f,Company,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,,,,,,True,"{""reference_symbol"": ""PDR""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:ce0fdc37d5b2feaa,Company,Tổng Công ty Khí Việt Nam,,,,,,True,"{""reference_symbol"": ""GAS""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:da4105f0fc84e326,Company,Tổng Công ty Phân bón và Hóa chất Dầu khí,,,,,,True,"{""reference_symbol"": ""DPM""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:e0a49e5e35aa0161,Company,Công ty Cổ phần Dược phẩm Imexpharm,,,,,,True,"{""reference_symbol"": ""IMP""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:e2facd65252af511,Company,Công ty Cổ phần Cơ Điện Lạnh,,,,,,True,"{""reference_symbol"": ""REE""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:e320a586d8ae58c0,Company,Ngân hàng TMCP Công Thương Việt Nam,,,,,,True,"{""reference_symbol"": ""CTG""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:e55c974e470b483b,Company,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,,,,,,True,"{""reference_symbol"": ""PNJ""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:e62c7e71f225d760,Company,Công ty Cổ phần Chứng khoán SSI,,,,,,True,"{""reference_symbol"": ""SSI""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:e90d707fc93502d9,Company,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,,,,,,True,"{""reference_symbol"": ""DGC""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:e997ce1d03c73492,Company,Công ty Cổ phần Tập đoàn Masan,,,,,,True,"{""reference_symbol"": ""MSN""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:fae7cc807b5b077a,Company,Ngân hàng TMCP Ngoại thương Việt Nam,,,,,,True,"{""reference_symbol"": ""VCB""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
exchange:HNX,Exchange,HNX,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
exchange:HOSE,Exchange,HOSE,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
index:HNXINDEX,MarketIndex,HNXINDEX,HNXINDEX,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
index:VNINDEX,MarketIndex,VNINDEX,VNINDEX,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:11a88d17b01a57ef,Industry,Bất động sản,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:167fdde35bfa247b,Industry,Chứng khoán,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:17b68cac5bbf1e12,Industry,Thủy sản,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:1c1aa61cec218a74,Industry,Tiêu dùng,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:1d38b55a0d4d378f,Industry,Thực phẩm,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:222238c99f130a02,Industry,Bán lẻ,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:2d2ccb23be0959cd,Industry,Thép,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:36c46778f7afc51c,Industry,Công nghiệp,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:4a20497fac845786,Industry,Hóa chất,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:6bbc912f18427c69,Industry,Ngân hàng,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:93a6c72fa290cce8,Industry,Viễn thông,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:950ae489453873b9,Industry,Công nghệ,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:9d37f820d54eacd4,Industry,Dược phẩm,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:ae6e98909c98e7c9,Industry,Logistics,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:be3df86f6c23c065,Industry,Hàng không,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:c2d1e127a3f8c690,Industry,Dầu khí,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
industry:f2e847d56ee8ca8c,Industry,Điện,,,,,,True,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:0005a62b9c8a6c7c6c49e27d7aeb3c44,News,Hơn 5 triệu cổ phiếu VPB sắp được tự do chuyển nhượng,,2021-09-16,,0005a62b9c8a6c7c6c49e27d7aeb3c44,train,True,"{""category"": ""co_tuc_phat_hanh"", ""content_length"": ""1002"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://vietnambiz.vn/hon-5-trieu-co-phieu-vpb-sap-duoc-tu-do-chuyen-nhuong-20210916142650575.htm""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:005894f0e0eb33024a057f3488ad09a4,News,"Cổ phiếu ngân hàng tuần qua: Đồng loạt tăng giá với thanh khoản bùng nổ, BIDV lên kế hoạch phát hành hơn 1 tỷ cổ phiếu trả cổ tức",,2021-11-27,,005894f0e0eb33024a057f3488ad09a4,train,True,"{""category"": ""co_tuc_phat_hanh"", ""content_length"": ""4389"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://vietnambiz.vn/co-phieu-ngan-hang-tuan-qua-dong-loat-tang-gia-voi-thanh-khoan-bung-no-bidv-len-ke-hoach-phat-hanh-hon-1-ty-co-phieu-tra-co-tuc-2021112713150882.htm""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:0087a4ecab16dfb6e007e8b08ae3b290,News,"VNM, PPC, DGC, FCN, TVB, NLG, HBC, KBC, IBC, AGG, HDC, NHA, SPI: Thông tin giao dịch lượng lớn cổ phiếu",,2021-01-29,,0087a4ecab16dfb6e007e8b08ae3b290,train,True,"{""category"": ""ngan_hang"", ""content_length"": ""2923"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://cafef.vn/vnm-ppc-dgc-fcn-tvb-nlg-hbc-kbc-ibc-agg-hdc-nha-spi-thong-tin-giao-dich-luong-lon-co-phieu-20210128180916531.chn""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:008efba7552c56f52c779fb4b29580c0,News,"Dòng tiền thông minh 2/6: NĐT cá nhân và tự doanh giảm mua ròng phiên HOSE đóng cửa sớm, tâm điểm hút vốn tiếp tục là HPG",,2021-06-02,,008efba7552c56f52c779fb4b29580c0,train,True,"{""category"": ""ngan_hang"", ""content_length"": ""3595"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://vietnambiz.vn/dong-tien-thong-minh-2-6-ndt-ca-nhan-va-tu-doanh-giam-mua-rong-phien-hose-dong-cua-som-tam-diem-hut-von-tiep-tuc-la-hpg-20210602082440387.htm""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:00990bfb0df936114b9deff45bfa55cd,News,"Lợi nhuận cao kỷ lục, Đạm Phú Mỹ (DPM) muốn nâng tỷ lệ cổ tức lên 70%",,2022-12-07,,00990bfb0df936114b9deff45bfa55cd,test,True,"{""category"": ""co_tuc_phat_hanh"", ""content_length"": ""1975"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://cafef.vn/loi-nhuan-cao-ky-luc-dam-phu-my-dpm-muon-nang-ty-le-co-tuc-len-70-20221207142745472.chn""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:00c3be1e41b193368a40ef61e7476ee6,News,"Giao dịch lớn cổ phiếu HTP, XHC, VNM, HD2, VIC, PHR, FIR, SSB, VID, LSS",,2022-10-10,,00c3be1e41b193368a40ef61e7476ee6,test,True,"{""category"": ""ngan_hang"", ""content_length"": ""2063"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://vietnambiz.vn/giao-dich-lon-co-phieu-htp-xhc-vnm-hd2-vic-phr-fir-ssb-vid-lss-2022101192831550.htm""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:00e4c396d8c0d773f5f22c8f8faa103e,News,"Thế giới Di động (MWG) vay 120 triệu USD tại HSBC, dự rót thêm vốn cho chuỗi điện thoại và Bách Hoá Xanh",,2020-11-18,,00e4c396d8c0d773f5f22c8f8faa103e,train,True,"{""category"": ""ket_qua_kinh_doanh"", ""content_length"": ""2089"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://cafef.vn/the-gioi-di-dong-mwg-vay-120-trieu-usd-tai-hsbc-du-rot-them-von-cho-chuoi-dien-thoai-va-bach-hoa-xanh-20201117230540518.chn""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:010813b546849d3170e3ba38cfad8eae,News,"Doanh nghiệp tuần qua: PV Gas, Vinamilk, Đạm Cà Mau chốt quyền chia cổ tức tiền mặt",,2022-06-19,,010813b546849d3170e3ba38cfad8eae,test,True,"{""category"": ""co_tuc_phat_hanh"", ""content_length"": ""7576"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://cafef.vn/doanh-nghiep-tuan-qua-pv-gas-vinamilk-dam-ca-mau-chot-quyen-chia-co-tuc-tien-mat-20220619093441781.chn""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:0116960911fecf74fe06cb7f109efbd1,News,"Dư nợ cho vay tại các CTCK lập kỷ lục hơn 90.000 tỷ đồng vào cuối năm 2020, SSI “phả hơi nóng” vào Mirae Asset",,2021-01-21,,0116960911fecf74fe06cb7f109efbd1,train,True,"{""category"": ""co_tuc_phat_hanh"", ""content_length"": ""3828"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://cafef.vn/du-no-cho-vay-tai-cac-ctck-lap-ky-luc-hon-90000-ty-dong-vao-cuoi-nam-2020-ssi-pha-hoi-nong-vao-mirae-asset-20210121140339903.chn""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:0129e3715d2275ad59296f8d16e1003d,News,"Chứng khoán Bản Việt chốt quyền tạm ứng cổ tức đợt 1/2020, cổ phiếu VCI tăng gấp rưỡi từ đầu năm",,2020-12-10,,0129e3715d2275ad59296f8d16e1003d,train,True,"{""category"": ""co_tuc_phat_hanh"", ""content_length"": ""1535"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://cafef.vn/chung-khoan-ban-viet-chot-quyen-tam-ung-co-tuc-dot-1-2020-co-phieu-vci-tang-gap-ruoi-tu-dau-nam-20201210090438295.chn""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
news:0150b6da3d4ad2dff3655a3a45830acf,News,"Phiên 1/3: Khối ngoại tiếp tục bán ròng gần 230 tỷ đồng, tập trung bán HPG, CTG",,2021-03-01,,0150b6da3d4ad2dff3655a3a45830acf,train,True,"{""category"": ""chung_khoan"", ""content_length"": ""948"", ""publication_time_resolution"": ""DATE_ONLY"", ""url"": ""https://cafef.vn/phien-1-3-khoi-ngoai-tiep-tuc-ban-rong-gan-230-ty-dong-tap-trung-ban-hpg-ctg-20210301152825355.chn""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
